sku,img,title,price,price_sale,cat,desc
,/fileadmin/_processed_/csm_11003457_7282753988.jpg,"Set polica Pe"," 4.560,00 RSD ",,,"**dimenzije samo jedne police su:"
,/fileadmin/_processed_/csm_11008474_2ee0cdb504.jpg,"Garderober LOGO 135"," 39.980,00 RSD ",,,
,/fileadmin/_processed_/csm_11001364_a7e84b17f2.jpg,"Kompjuter sto ALFA"," 16.414,00 RSD ",,,"Ozbiljan sto za ozbiljne projekte - sa policom za tastaturu koja se izvlači i fiokom i zatvorenom policom za maksimalnu iskorišćenost prostora za odlaganje. Sa druge strane se nalaze otvorene police za odlaganje diskova i kućišta kompjutera. Kompjuter sto ALFA, u sonoma hrast dezenu, biće idealan gost svake radne sobe."
,/fileadmin/_processed_/csm_21028997_791308718e.jpg,"Ležaj DANTE"," 37.128,00 RSD ",,," Sunđer. Obaranje naslona. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_11008240_a1b4a2bb2e.jpg,"Regal MERIDA"," 45.987,00 RSD ",,," Preporučujemo  Set led rasvete Ra. "
,/fileadmin/_processed_/csm_21026167_f9578c711a.jpg,"Ugaona garnitura GLORIJA"," 71.414,00 RSD ",,," Žičano jezgro i sunđer. Obaranje naslona. Dve kutije za posteljinu. Univerzalni ugao. "
,/fileadmin/_processed_/csm_21027734_80bd3be77d.jpg,"Trpezarijska stolica TC-1963"," 5.720,00 RSD ",,,"Tačan naziv dezena je: sedište/naslon štof svetlo siva, nogari metal crna. Trpezarijsku stolicu TC-1963 ujedinjuje udobnost i savremen dizajn koji pdoprinose autentičnom izgedu ambijenta. Njen dizajn i forma doprinose posebnoj estetskoj privlačnosti. Lako se uklapa u trpezarije različitih dimenzija."
,/fileadmin/_processed_/csm_21031047_82a2181123.jpg,"Trpezarijski sto FI90"," 13.317,00 RSD ",,,"Tačan opis dezena je: konstrukcija metal crna, ploča MDF boja bela. Zahvaljujući svom obliku i dizajnu idealno se uklapa u savremen koncept uređenja trpezarijskog prostora koji može biti zasebna celina ili deo dnevnog boravka. Uklapa se u moderne enterijere savremenih domova."
,/fileadmin/_processed_/csm_21020221_8518f8040c.jpg,"Francuski ležaj ČESTER"," 66.653,00 RSD ",,," Žičano jezgro i sunđer. Makaze sa amortizerima. Jedna kutija za posteljinu. "
,/fileadmin/_processed_/csm_21017936_75a3aedf30.jpg,"Kancelarijska fotelja FY-0654-27"," 15.700,00 RSD ",,,"Tačan naziv dezena je: Eko crna zelena. Kancelarijska fotelja FY-0654 donosi udobnost koja je neophodna svakom radnom prostoru. Poseduje mehanizam podešavanja visine i rukonaslone."
,/fileadmin/_processed_/csm_11006277_003b7f916a.jpg,"Kompjuter sto REY"," 7.843,00 RSD ",,,"Kompjuter sto REY, u sonoma hrast dezenu, praktično je rešenje za opremanje radnog prostora zahvaljujući skladnom dizajnu i dimenzijama. Ovaj model radnog stola poseduje otvoreni segment i frontalni deo levo pozicioniran sa pregradnom policom."
,/fileadmin/_processed_/csm_11006678_14a6a11eb5.jpg,"Element kuhinje KENT BD 60"," 21.320,00 RSD ",,,"*Napomena: Cena je bez ugradnih elemenata."
,/fileadmin/_processed_/csm_11007404_d3096fa871.jpg,"TV polica TOSCANA TV 155"," 19.840,00 RSD ",,,"Tv polica TOSCANA TV 155, u dekoru sivog hrasta i pesak lak folije, deo je istoimene kolekcije koja u Vaš dom donosi savremen tematski koncept uređenja dnevnog boravka. Sastoji se dva zatvorena dela sa soft-close mehanizmom, jedne fioke i jednog otvorenog dela."
,/fileadmin/_processed_/csm_11007409_0b8273d5da.jpg,"Vitrina TOSCANA 2K VS1 125"," 24.245,00 RSD ",,," Preporučujemo  Set LED rasvete Ra2. "
,/fileadmin/_processed_/csm_11007407_0b13b9a434.jpg,"Vitrina TOSCANA 2K VS1 195"," 24.653,00 RSD ",,," Preporučujemo  Set LED rasvete Ra2. "
,/fileadmin/_processed_/csm_11007388_46986c357f.jpg,"Zidna polica UMBRIA ZP"," 3.320,00 RSD ",,,"Zidna polica UMBRIA ZP, u kombinaciji dekora zlatnog hrasta i crnog drveta, funkcionalan je deo istoimene kolekcije koja će doprineti da vaš dom bude opremljen po najnovijim enterijerskim standardima. Iskoristite zidnu policu UMBRIA ZP za izlaganje dragih uspomena kako bi vam one uvek stajale na vidnom mestu."
,/fileadmin/_processed_/csm_11007392_b6e2efced9.jpg,"Klub sto UMBRIA KS"," 10.386,00 RSD ",,,"Klub sto UMBRIA KS, u kombinaciji dekora zlatnog hrasta i crnog drveta, deo je istoimene kolekcije koja će doprineti da vaš dom bude opremljen po najnovijim enterijerskim standardima. Dodatna staklena pregrada klub sto UMBRIA KS doprineće da prostor za odlaganje časopisa, knjiga ili foto albuma bude maksimalno iskorišćen."
,/fileadmin/_processed_/csm_11007390_96a3e49eca.jpg,"Komoda UMBRIA 3K4F"," 19.986,00 RSD ",,,"Komoda UMBRIA 3K4F, u kombinaciji dekora zlatnog hrasta i crnog drveta, deo je istoimene kolekcije koja će doprineti da vaš dom bude opremljen po najnovijim enterijerskim standardima. Sastoji se iz tri dela koja čine 4 prostrane fioke, kao i jednokrilni i otvoreni frontalni deo sa unutrašnjim pregradama. Zbog svoje funkcionalnosti, idealno će se uklopiti u vašu spavaću sobu, dnevni boravak ili predsoblje."
,/fileadmin/_processed_/csm_11009047_8562a7a6a6.jpg,"TV polica BOLOGNA"," 8.980,00 RSD ",,,"TV polica BOLOGNA je spoj topline naturalnog i rustičnog sivog hrasta. Dva zatvorena bočna segmenta, kao i otvoreni deo sa jednom pregradnom policom efektno doprinose funkcionalnoj organizaciji dnevnog boravka."
,/fileadmin/_processed_/csm_11007882_e9dc93b131.jpg,"Predsoblje TURANO"," 9.980,00 RSD ",,,"Predsoblje TURANO, u dekoru sonoma hrasta, sastoji se iz dva praktična dela koja će vam pomoći da svoju omiljenu obuću i odeću adekvatno odložite. Gornji deo koji se kači na zid sadrži zakačke i ogledalo, dok se donji deo sastoji iz jednog zatvorenog segmenta za odlaganje obuće."
